file,has_declaration,declaration_excerpt,availability_section_found,dataset_candidates,time_mentions,sources_mentions,urls,needs_review,error
297_README.pdf,False,,False,which is no longer provided on the IMF website | Variable name in | for Indonesia at | that curates economic indicators from various countries | raw  data  publicly  available | world-imf2024-v1.dta | Fig 1.1 calc.xlsx | marginemerg22.xls | VAT_historic_rates.xlsx | review.xlsx,1990-2021 | 2011 - 2019 | 1991-2019 | 2011-2019 | 1981-1988 | 2009 and 2010 | 2022-2023 | 2019-2021 | 1990-1997 | 2006-2014 | 2006-2015 | 2013-2021 | June 2023 | January  2023 | May 2023,"World  Bank | IMF | Ministry  of  Finance | imf | Department of Economics | University of Indonesia | OECD | World Development Indicators | WDI | oecd | World

Development Indicators | World Bank | Eurostat | eurostat",https://www.imf.org/en/Topics/fiscal-policies/world-revenue-longitudinal-database | https://peraturan.bpk.go.id/Details/39704/uu-no-36-tahun-2008 | https://peraturan.bpk.go.id/Details/137323/uu-no-2-tahun-2020 | https://doi.org/10.1787/983f251a-en | https://taxsummaries.pwc.com/quick-charts/corporate-income-tax-cit-rates | https://doi.org/10.1787/data-00900-en. | https://doi.org/10.1787/data | https://tablebuilder.singstat.gov.sg/ | https://www2.deloitte.com/id/en/pages/tax/articles/indonesian-tax-guide.html | https://www.oecd.org/en/publications/oecd-investment-policyreviews-indonesia-2020_b56512da-en/full-report/component-9.html#section-d1e17417 | http://www.mprt.gov.bn/SitePages/Pioneer%20Service%20Companies.aspx | https://taxsummaries.pwc.com/cambodia/corporate/tax-credits-and-incentives | https://taxsummaries.pwc.com/indonesia/corporate/tax-credits-and-incentives | https://taxsummaries.pwc.com/lao-pdr/corporate/tax-credits-and-incentives | https://taxsummaries.pwc.com/malaysia/corporate/tax-credits-and-incentives | https://taxsummaries.pwc.com/myanmar/corporate/tax-credits-and-incentives | https://taxsummaries.pwc.com/philippines/corporate/tax-credits-and-incentives | https://taxsummaries.pwc.com/singapore/corporate/tax-credits-and-incentives | https://taxsummaries.pwc.com/thailand/corporate/tax-credits-and-incentives | https://taxsummaries.pwc.com/vietnam/corporate/tax-credits-and-incentives,False,
135_README.pdf,False,,True,wdi.dta | pwt100.dta | pip.csv | lm_wpid_web.dta | CMO-Historical-Data-Monthly.xlsx | combined_data.dta | si.pov.dday.csv | bb_countries.dta | oecd.dta,December 2023 | 2024 | 2023 | 2015 | 2017 | 2011 | 2013 | 2021 | 2009,"World Bank | wdi | World Development
Indicators | pip | Poverty and Inequality Platform | WDI | oecd | OECD | PovCalnet",,False,
109_README.pdf,False,,False,"Gender At Home Raw Dataset | $data\Raw\GenderAtHomeDataRaw_092021.dta | at the individual level, | is available for sharing | in stata format received | for  individual-level | aggregates key variables at the | is organized in a long format, where each row represents a country, and each | may not be available, we have prepared a detailed dofile for its cleaning and preparation | into Stata, embarking on a series of essential tasks aimed at readying the | for subsequent analysis (the | at the country level | for Maps | with variables constructed | ready for analysis",2019 and 2020 | 2023 | 2019 | 2020 | 2010,"World
Bank | World Bank",https://portal.datapartnership.org/submitproposal | https://www.worldvaluessurvey.org/WVSDocumentationWVL.jsp | https://www.nber.org/system/files/working_papers/w31049/w31049.pdf. | https://databank.worldbank.org/source/worlddevelopment-indicators,False,
330_README.pdf,False,,True,"corresponds to SDG Indicator 8 | with-fixes | for analysis | with selected variables | derived from I2D2/ILO harmonized microdata per | constructed from I2D2 | constructed from I2D2/GLD harmonized | with processed data from the Doing business report | is not publicly available, and authorization is | created for the group of countries | Uruguay | El  Salvador | Colombia | Brazil | Mexico","2019 and 2022 | 1999-2023 | 1993-2019 | 1967-2022 | 1951-2022 | 2005-2019 | 1974-2019 | 1974-2021 | 1960-2021 | 2006-2015 | 2013-2023 | 2018-2021 | 1993-
2019 | 2019 and 2024 | 2019 and 2023",World Bank | OECD | University of Gothenburg | World Development Indicators | WDI | wdi | oecd | United Nations | World  Bank | IMF,http://dx.doi.org/10.1787/888933410093 | https://data.iadb.org/dataset/database-of-labor-marketsand-social-security-information-system-sims | https://apps.who.int/nha/database/Select/Indicators/en | https://data-explorer.oecd.org/ | https://population.un.org/wpp/ | https://statistics.cepal.org/portal/cepalstat/ | https://www.unesco.org/gemreport/en/publication/2024-education-finance-watch,False,
186_README.pdf,False,,True,Spatial data | World Bank AM24 | can  be  requested  from | System | created  by | for this project | is produced as part of tracking SDG Indicator 9 | by the UN SDSN and provided directly to the project team | is derived from administrative boundary data sources including Global Administrative Unit | and other data | UNESCO | data  in  the  Global | to 02 | Output filename | System (ASIS),"1984-2022 | 1999-2049 | 1975-2030 | November 2023 | August 2023 | April 2024 | June 2024 | July 2024 | March 2024 | September 2024 | April
2024 | 2015 | 2021 | 2023 | 2024","World Bank | World  Bank | World
Bank | United
Nations | WDI | Poverty and
Inequality Platform | Poverty
and Inequality
Platform | World  Development  Indicators | Poverty  and  Inequality  Platform | Poverty  and
Inequality Platform | PIP | pip | World Development Indicators | Poverty and Inequality Platform","https://datacatalog.worldbank.org/int/search/dataset/0021728/Global-Flood-Hazard-FATHOM- | https://deltaresfloodssa.blob.core.windows.net/floods/v2021.06/global/MERITDEM/90m/GFM_global_MERIT | https://cdla.dev/permissive-1-0/ | https://www.fao.org/giews/earthobservation/access.jsp?lang=en | https://creativecommons.org/licenses/by-nc-sa/4.0/ | https://www.fao.org/contact-us/terms/db-terms-ofuse/en | https://doi.org/10.5281/zenodo.10931452 | https://creativecommons.org/publicdomain/zero/1.0/ | https://creativecommons.org/licenses/by/4.0/ | https://human-settlement.emergency.copernicus.eu/download.php?ds=pop. | https://human-settlement.emergency.copernicus.eu/download.php?ds=smod. | https://geecommunity-catalog.org/projects/rai/, | https://washdata.org/data/downloads#WLD. | https://trackingsdg7.esmap.org/downloads. | https://apiportal.uis.unesco.org/bdds. | https://creativecommons.org/licenses/by-sa/3.0/igo/ | https://microdata.worldbank.org/index.php/catalog/4607. | https://microdata.worldbank.org/index.php/terms-of-use | https://www.lisdatacenter.org/data-access/lissy/. | https://worldbank.github.io/pip/.",False,
177_README.pdf,True,"I certify that the author(s) of the manuscript have legitimate access to and permission to
use the data used in this manuscript.",True,designed  to  test  five  different | list | cons_analysis.dta | cons_analysis_item.dta | cons_analysis_day.dta | food_cat_012.dta | the outreg2 command exports the results to .xls | open the applicable .xls | Names.xls,2022,"World Bank | World

Bank",,False,
169_README.pdf,False,,True,documentation for surveys harmonized in GLD | ladder_cross_country.dta | file pip_YYYY_MM_DD.dta,2007 and 2019 | July 2024 | 2024 | 2007 | 2019,"world
bank | World Bank | pip",https://github.com/worldbank/gld/tree/main/GLD,False,
144_README.pdf,False,,False,data and creates some labour | The datasets used for these are Dictionary of green terms 11 11 21 SA.xls and ISCOGroups_en.xls | found in the data folder under GTI. The resulting data is greentasksSA.dta | Table 1 in the draft paper is an excerpt of Dictionary of green terms 11 11 21 SA.xls | crosswalk_isco08_isco88.xlsx | crosswalk_isco08_isco88.dta | The resulting data file is greenOCCS_isco88.dta | palmsv3.3-stata11.dta | qlfs-2019-q3-worker-1.0-stata11.dta | qlfs-2019-q4-worker-1.0-stata11.dta | The resulting data is saved as PALMS_q3q4qlfs2019.dta | market variables for the analysis. The resulting data file is palms4waves.dta | is used merge the labour force surveys data file palms4waves.dta | GTI scores greenOCCS_isco88.dta. The resulting data is PALMS4_GTI_CLEAN.dta | analysis is PALMS4_GTI_CLEAN.dta,1993-2019 | 2012-2019 | September 2022 | December 2022 | April 2020 | 1993 | 2019 | 2012 | 2024 | 1958 | 2007 | 2022 | 2020,World Bank | Statistics South,https://www.datafirst.uct.ac.za/ | https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/434/get-microdata | https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/794/get-microdata | https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/795/get-microdata | http://documents.worldbank.org/curated/en/099507304172419760/IDU16ad6160713dd714cb81ba4 | https://www.ilo.org/resource/correspondence-table-isco08-isco88. | https://www.ilo.org/rights-and-permissions | https://www.ilo.org/public/english/bureau/stat/isco/isco08/ | https://www.ilo.org/resource/correspondence-table-isco08isco88,False,
328_README.pdf,False,,True,"Survey follow-up | Survey | used in the analysis by appending the CBPS and Bhasan | data  focused  on | Survey data were acquired through Christina Wieser (World | is built | modules from the Bhasan Char survey, | used for the analysis is compiled from the raw data using the do | used  in  this  study  differs  from  the  one  available  in  the  Microdata | Survey, generated using the | from the Bhasan Char Panel Survey, generated using the | used to replicate the figures and tables presented in | used to reproduce the web scraping-based figures included | Survey - Follow-up | Survey (2022)",February 2025 | 2022 | 2025,"World Bank | World

Bank | World  Bank",https://microdata.worldbank.org/index.php/catalog/6215/get-microdata,False,
133_README.pdf,False,,False,Tables.xlsx | Population,2023-2035 | 2017 | 2023 | 2035 | 2020 | 2022,Statistics report,"https://www.pbs.gov.pk/co | https://pie.gov.pk/SiteIma | https://www.pbs.gov.pk/content/final-results-census-2017 | http://www.emis.gob.pk/; | https://semis.rsu-sindh.gov.pk/; | https://open.punjab.gov.pk/schools/; | https://ese.kp.gov.pk/page/education_management_information_system_emis; | http://hrmis.fde.gov.pk/; | https://www.pbs.gov.pk/content/final-results-census-2017-0, | http://isaps.org/upload/report_p",False,
